"","x1","x2","x3","x4","x5","x6","x7","x8","y1"
"8458",35,26,73,7,97,16,17,34,9.59
"8459",33,31,60,11,86,21,13,36,9.4
"8460",33,32,49,25,89,15,17,39,10.03
"8461",35,34,52,22,103,12,15,31,9.96
"8462",29,19,71,25,75,13,25,23,8.83
"8463",25,36,47,37,108,14,23,28,8.33
"8464",10,10,18,6,42,7,10,9,9.43
"8465",15,21,20,7,23,21,19,21,3.01
"8466",39,29,50,15,59,32,27,50,6.28
"8467",67,19,54,16,83,28,17,66,11.09
"8468",76,15,46,9,103,17,14,75,12.35
"8469",61,14,36,11,124,23,19,57,11.99
"8470",58,30,48,4,124,23,11,58,12.09
"8471",55,18,67,10,98,19,14,58,14.1
"8472",57,16,53,11,101,30,14,56,11.58
"8473",63,16,60,6,98,26,15,64,14.66
"8474",62,21,56,6,88,36,20,58,13.36
"8475",52,26,46,7,112,36,14,53,12.49
"8476",54,15,46,10,99,49,18,58,13.46
"8477",67,13,58,9,74,31,18,69,13.1
"8478",56,18,62,7,85,28,24,57,12.56
"8479",73,21,36,13,106,15,13,78,12.13
"8480",75,20,42,21,93,18,17,67,11.86
"8481",60,16,46,13,97,37,19,63,12.49
"8482",60,16,53,10,84,42,30,60,13.55
"8483",63,12,55,6,93,31,22,57,12.92
"8484",52,27,56,2,93,36,18,54,12.68
"8485",70,26,46,3,89,19,16,75,14.37
"8486",55,21,52,6,103,22,19,56,12.22
"8487",71,15,45,5,108,23,15,73,11.18
"8488",73,22,61,4,78,25,18,70,14.25
"8489",74,17,47,10,73,18,19,76,12.37
"8490",75,24,69,3,89,16,15,65,12.25
"8491",62,26,48,5,96,28,15,65,11.72
"8492",48,27,72,12,105,26,15,44,12.83
"8493",53,25,51,12,102,31,15,63,11.32
"8494",39,11,33,7,49,24,7,38,12.74
"8495",5,10,15,6,19,16,12,6,7.7
"8496",13,14,52,9,53,26,11,19,3.42
"8497",26,10,41,10,77,29,7,26,7.13
"8498",22,18,43,6,114,28,13,27,8.55
"8499",38,5,47,11,96,11,12,39,8.72
"8500",30,17,53,9,100,19,7,19,8.25
"8501",17,22,41,9,73,39,8,18,8.93
"8502",14,15,57,13,82,40,18,16,12.66
"8503",24,10,55,12,88,30,10,24,9.74
"8504",21,13,60,8,93,24,11,23,10.84
"8505",28,11,60,9,101,23,14,26,10.67
"8506",23,14,54,10,85,17,6,30,9.43
"8507",34,9,58,8,92,15,10,25,8.47
"8508",24,12,65,4,98,19,12,29,8.34
"8509",20,11,56,9,92,23,9,21,9.01
"8510",27,13,46,14,81,30,5,28,9.16
"8511",31,8,42,10,80,38,13,34,10.05
"8512",32,9,31,11,97,22,6,30,10.85
"8513",37,17,47,20,90,21,7,33,9.31
"8514",26,15,48,17,77,17,10,29,10.04
"8515",24,18,62,9,101,10,12,22,8.62
"8516",20,17,61,8,96,19,10,15,8.04
"8517",20,11,47,4,106,19,13,27,8.23
"8518",28,9,53,6,98,22,14,21,9.33
"8519",18,14,53,10,91,24,9,21,9.71
"8520",19,14,56,21,89,21,16,17,9.09
"8521",21,23,40,19,85,13,18,22,8.51
"8522",20,17,58,14,78,26,10,22,8.35
"8523",24,20,57,12,77,25,15,25,8.23
"8524",25,13,70,9,63,16,7,26,9.32
"8525",9,17,22,2,14,2,9,16,6.89
"8526",33,42,84,22,57,28,42,42,3.26
"8527",63,40,115,26,112,48,40,65,14.73
"8528",72,34,97,17,135,31,37,77,17.34
"8529",75,35,89,11,152,29,38,75,16.01
"8530",79,34,69,26,141,16,31,81,16.72
"8531",83,27,73,18,129,29,41,82,15.24
"8532",83,38,62,33,126,47,26,85,16.37
"8533",84,37,87,15,142,30,30,76,20.35
"8534",70,49,109,25,152,20,33,75,16.98
"8535",64,43,99,18,139,25,29,57,17.07
"8536",67,48,93,16,132,25,31,72,17.51
"8537",70,42,78,29,119,35,31,76,15.94
"8538",83,41,93,13,111,35,31,79,18.84
"8539",87,47,85,17,119,35,31,81,16.66
"8540",76,48,88,21,125,39,20,84,17.14
"8541",64,52,84,26,110,50,29,58,17.82
"8542",68,36,94,34,95,42,32,73,16.17
"8543",78,42,75,40,122,37,22,79,17.07
"8544",74,27,86,31,137,26,30,69,17.45
"8545",76,31,68,32,143,33,41,77,14.9
"8546",73,38,81,18,137,33,17,70,16.93
"8547",68,52,90,11,129,38,34,64,15.32
"8548",53,49,114,14,128,37,36,56,18.49
"8549",55,55,116,21,110,44,31,59,17.11
"8550",72,29,102,21,121,52,34,65,16.28
"8551",67,37,96,21,118,44,32,69,16.94
"8552",74,52,89,21,126,40,31,78,16.97
"8553",69,51,73,19,131,34,29,73,16.78
"8554",77,43,98,16,132,28,31,72,16.13
