x1,x2,x3,x4,x5,x6,x7,x8,y1
4,5,2,1,1,1,1,5,53.28
2,7,3,1,1,0,3,6,36.2
5,6,2,3,1,1,1,7,36.23
5,1,3,2,3,1,4,3,53.05
3,1,1,3,0,1,2,5,57.61
2,1,2,2,2,2,3,2,65.15
2,0,1,2,5,2,4,3,51.86
4,3,3,1,2,1,1,5,67.57
1,2,0,2,3,2,2,5,70.18
6,3,1,2,0,0,3,6,75.87
5,2,2,1,1,1,2,4,83.16
2,1,2,1,1,0,4,3,71.14
3,6,9,0,7,1,2,4,71.42
4,3,1,1,2,0,1,5,82.38
5,2,4,2,4,1,2,7,78.38
4,3,4,2,3,0,2,4,87.39
9,1,4,1,1,0,0,13,83.19
5,2,6,0,3,0,0,4,64.29
7,2,5,1,1,0,1,8,71.88
6,2,1,1,2,1,1,4,52.75
2,2,5,2,5,1,0,6,47.02
6,3,4,2,3,1,0,10,59.9
10,3,4,4,6,1,1,5,42.97
0,2,3,0,1,0,0,3,52.3
3,1,3,6,2,0,1,2,59.87
0,0,1,2,0,1,0,0,48.43
1,0,1,4,1,1,1,1,45.3
0,1,3,3,0,0,1,2,59.59
2,0,1,2,4,0,0,4,53.4
2,0,5,3,2,0,2,4,55.29
2,0,0,0,0,0,0,1,60.41
1,0,0,0,0,0,0,3,67.44
1,0,0,0,0,0,0,2,71.18
3,1,0,0,0,0,0,2,59.28
2,0,0,0,0,1,1,1,65.55
2,0,0,0,1,0,2,2,40.98
2,0,1,1,1,0,0,2,53.33
1,2,0,0,1,0,0,3,35.27
0,1,0,1,0,0,1,4,28.98
5,1,1,1,1,0,1,2,33.38
2,2,0,2,3,0,0,1,43.05
0,2,1,1,4,0,0,5,48.62
5,4,0,1,1,0,0,2,48.77
0,1,0,3,2,1,1,1,39.55
2,3,2,0,1,1,1,2,44.43
1,1,2,1,1,0,3,2,51.84
1,6,1,0,0,0,0,2,58.28
1,2,4,0,1,2,1,1,55.49
1,0,3,0,2,3,1,2,80.79
3,1,2,0,1,1,0,3,66.15
3,0,3,0,3,4,0,5,79.94
5,0,1,0,2,0,0,5,85.53
3,0,1,0,1,0,0,4,87.42
2,0,4,0,5,0,1,3,88.94
1,1,2,0,0,0,1,2,94.7
1,0,1,0,2,0,0,1,95.89
1,0,2,0,0,1,0,3,97.64
2,0,0,0,0,0,0,1,95.52
0,1,2,1,1,1,0,1,97.64
3,1,1,0,1,0,0,3,87.61
1,0,1,0,0,0,0,2,91.01
1,0,1,0,3,1,1,0,83.58
1,0,4,0,2,0,1,2,76.15
2,2,1,0,2,1,0,1,75.51
1,1,2,3,0,1,1,2,79.46
2,2,4,1,0,1,2,1,84.34
0,1,1,0,2,0,1,2,78.9
1,1,0,0,1,0,4,3,50.48
2,1,1,1,2,1,2,1,59.52
0,1,2,0,3,1,1,1,51.55
1,2,0,0,2,1,2,1,70.61
1,1,1,0,0,1,3,1,72.26
0,1,1,0,1,2,2,3,80.39
1,1,1,0,1,0,2,0,85.52
1,1,1,0,1,1,2,3,81.01
3,2,0,1,2,2,1,1,87.76
1,1,1,0,2,1,1,2,87.21
1,2,2,1,2,0,1,2,93.74
2,6,2,0,1,1,1,2,81.52
0,4,1,1,2,1,0,0,86.57
0,1,1,0,1,1,2,1,91.55
1,3,0,0,2,3,0,2,89.08
1,3,0,0,1,0,0,2,80.11
3,1,1,0,2,0,0,3,82.16
0,0,0,1,1,0,0,2,90.54
0,1,0,0,0,0,0,0,82.84
1,0,0,1,1,0,0,0,78.7
1,1,0,1,0,0,0,1,89.52
0,1,0,0,1,0,1,0,93.71
0,1,0,0,0,0,0,2,94.69
2,1,1,1,1,1,1,0,96.01
0,0,0,1,1,0,1,1,98.65
1,1,0,0,1,0,0,3,97.55
3,1,1,1,1,0,1,2,98.55
2,2,3,1,4,0,2,1,99
0,3,0,0,1,0,1,0,98.4
1,6,2,2,2,1,0,3,98.14
2,6,1,0,2,2,1,5,97.09
4,6,0,0,1,1,0,6,98.2
7,3,1,0,2,2,5,7,99.15
5,3,2,1,1,0,4,8,98.7
6,2,2,0,0,1,1,5,99.25
4,1,4,0,4,0,1,4,98.95
5,5,2,0,0,0,3,7,98.6
2,2,1,0,1,1,0,5,96.34
4,5,3,0,2,0,3,7,95.24
3,2,2,1,10,1,1,7,90.79
4,1,2,0,4,0,3,6,86.21
3,2,2,0,4,0,3,7,86.14
4,1,0,2,6,1,1,2,79.73
3,0,1,0,2,2,2,9,87.1
5,1,0,1,2,2,0,4,89.74
7,0,0,1,5,0,2,8,90.74
5,0,0,2,1,2,1,3,91.88
1,1,0,0,2,0,1,3,91.37
3,1,0,0,2,0,0,3,93.81
3,0,0,0,1,0,0,3,95.27
3,1,0,1,3,1,0,4,94.52
2,0,0,0,2,0,0,2,93.19
3,2,0,0,2,0,1,3,91.88
2,1,3,0,3,0,1,2,94.98
1,0,0,0,4,0,1,2,95.93
1,0,0,1,0,0,1,3,97.1
0,0,0,0,0,1,1,1,99.15
0,0,0,0,0,0,0,0,98.55
0,0,0,0,0,0,1,0,97.1
0,1,1,0,1,1,0,0,99.25
0,0,0,0,0,0,1,1,99.15
0,0,0,0,0,1,1,1,99.05
4,1,0,0,1,0,1,1,95.79
2,1,0,3,1,0,0,2,98.75
2,0,1,2,2,0,1,1,98.55
0,0,0,1,0,0,1,3,98.75
4,0,1,1,0,1,0,4,96.8
2,0,2,0,2,1,0,2,98.75
1,0,1,0,0,0,0,1,97.29
2,0,0,0,1,0,0,1,97.25
0,0,1,0,0,1,0,1,98
2,0,0,1,1,1,1,1,96.64
0,0,0,0,0,1,0,1,98.7
2,0,0,0,0,1,1,1,96.14
0,0,0,1,0,0,0,2,97.4
2,0,0,0,0,0,0,1,98.3
1,1,0,1,0,1,1,0,95.34
0,0,0,0,0,1,0,1,95.35
1,0,1,0,0,1,0,0,97.05
0,0,0,0,1,1,0,3,98.85
2,1,0,0,0,0,2,0,96.25
1,0,1,2,1,1,1,3,96
0,0,0,0,0,0,1,2,95.35
0,0,0,0,0,1,0,1,97.9
0,0,0,1,2,0,2,1,97.7
1,0,1,0,1,1,1,1,96.2
0,0,0,0,0,0,0,0,98.15
0,0,0,1,1,0,0,0,98.95
0,1,1,0,0,1,1,0,98.84
0,0,0,0,0,2,0,0,94.95
0,0,1,0,0,1,0,1,94.7
0,0,1,1,1,0,0,1,94.29
0,0,0,1,0,1,0,0,95.5
0,1,0,0,0,0,1,0,94.39
0,0,0,1,0,0,0,0,94.91
2,0,0,0,0,2,0,0,94.4
0,0,2,0,2,0,0,2,94.26
0,0,0,0,0,0,0,0,94.79
0,0,0,0,0,0,0,0,94.76
0,0,0,0,0,0,0,0,94.03
0,0,0,0,0,0,0,0,94.29
0,0,0,0,0,0,0,0,95.16
0,0,0,0,0,0,0,0,94.9
0,1,0,0,1,0,0,0,95.05
0,0,1,0,1,0,2,2,95.75
1,1,0,0,0,0,2,1,96.7
1,1,1,3,0,0,2,5,99.1
3,2,0,2,2,1,2,0,99.1
2,4,3,1,0,0,4,7,94.04
6,0,1,1,4,1,2,5,95.55
4,1,1,1,2,1,1,11,94.85
3,1,2,0,1,1,2,3,95.2
3,1,2,1,2,1,1,1,95.05
3,1,1,0,3,1,0,5,94.35
1,2,2,0,1,0,1,0,95.25
1,0,0,0,4,2,2,4,98.5
1,0,1,0,1,0,1,3,99
1,0,1,1,1,0,0,0,99.3
0,0,0,0,0,1,1,0,99.15
0,0,0,0,1,0,0,2,98.1
1,0,0,0,0,1,0,0,99.2
0,1,1,0,3,0,3,1,98.2
0,2,0,0,0,0,0,1,99.15
1,0,0,0,0,0,1,2,98.6
2,1,0,0,1,1,0,0,98.95
2,1,0,0,0,0,2,2,95.6
3,1,1,0,1,0,0,5,95.65
4,1,0,0,0,0,1,3,95.56
