,V1,V2,V3
63,2019-12-13 21:22:36  ,GET,openmrs/ws/rest/v1/obs?patient=dd55401d-1691-11df-97a5-7038c432aabf
64,2019-12-13 21:22:36  ,POST,openmrs/ws/rest/v1/person/dd5541e2-1691-11df-97a5-7038c432aabf
65,2019-12-13 21:22:37  ,POST,openmrs/ws/rest/v1/person
66,2019-12-13 21:22:37  ,POST,openmrs/ws/rest/v1/person
67,2019-12-13 21:22:38  ,POST,openmrs/ws/rest/v1/person
68,2019-12-13 21:22:38  ,GET,openmrs/ws/rest/v1/person?q=Adison
69,2019-12-13 21:22:38  ,GET,openmrs/ws/rest/v1/person?q=Adicha
70,2019-12-13 21:22:38  ,DELETE,openmrs/ws/rest/v1/person/57491728-bccd-49a0-8e46-b1dd5617f2d6?purge=true
71,2019-12-13 21:22:39  ,DELETE,openmrs/ws/rest/v1/person/adcb27e9-a258-42de-86f0-27bcdbb76dc9?purge=true
72,2019-12-13 21:22:39  ,POST,openmrs/ws/rest/v1/person
73,2019-12-13 21:22:39  ,POST,openmrs/ws/rest/v1/person
74,2019-12-13 21:22:39  ,GET,openmrs/ws/rest/v1/person?q=Adison
75,2019-12-13 21:22:39  ,DELETE,openmrs/ws/rest/v1/person/4aefcb25-2f62-4cb3-8e65-0f483e16185f?purge=true
76,2019-12-13 21:22:39  ,DELETE,openmrs/ws/rest/v1/person/a95b4b86-a9e3-491a-9903-1f04fb293d87?purge=true
77,2019-12-13 21:22:39  ,GET,openmrs/ws/rest/v1/person/dd5543ac-1691-11df-97a5-7038c432aabf
78,2019-12-13 21:22:39  ,GET,openmrs/ws/rest/v1/person/dd55401d-1691-11df-97a5-7038c432aabf
79,2019-12-13 21:22:40  ,POST,openmrs/ws/rest/v1/person
80,2019-12-13 21:22:41  ,DELETE,openmrs/ws/rest/v1/person/ff428cc8-78fa-4b9e-9860-f0f6b57eadd2?purge=true
81,2019-12-13 21:22:41  ,POST,openmrs/ws/rest/v1/person
82,2019-12-13 21:22:41  ,DELETE,openmrs/ws/rest/v1/person/2506124f-1a73-4139-894d-66ddaf45f69d?purge=true
83,2019-12-13 21:22:41  ,DELETE,openmrs/ws/rest/v1/person/5758a907-f655-4eb7-a8e4-d49a27e88ddb?purge=true
