,V1,V2,V3
1,1700,GET_url4,PEDSRETURN
2,0,GET_url4,ADULTRETURN
3,0,GET_url4,ADULTRETURN
4,850,GET_url4,PEDSINITIAL
5,0,GET_url4,ADULTRETURN
6,0,GET_url4,PEDSRETURN
7,850,GET_url4,ADULTRETURN
8,0,GET_url4,ADULTINITIAL
9,850,GET_url4,PEDSINITIAL
10,0,GET_url4,ADULTINITIAL
11,1700,GET_url4,ADULTRETURN
12,0,GET_url4,PEDSRETURN
13,0,GET_url4,ADULTRETURN
14,0,GET_url4,PEDSINITIAL
15,0,GET_url4,PEDSRETURN
16,850,GET_url4,ADULTINITIAL
17,0,GET_url4,PEDSRETURN
18,0,GET_url4,PEDSRETURN
19,0,GET_url4,ADULTINITIAL
20,0,GET_url4,ADULTINITIAL
21,0,GET_url4,ADULTRETURN
22,850,GET_url4,PEDSINITIAL
23,0,GET_url4,PEDSINITIAL
24,0,GET_url4,PEDSRETURN
25,850,GET_url4,PEDSINITIAL
26,0,GET_url4,PEDSRETURN
27,0,GET_url4,ADULTINITIAL
28,0,GET_url4,PEDSINITIAL
29,850,GET_url4,ADULTINITIAL
30,0,GET_url4,ADULTINITIAL
31,0,GET_url4,ADULTRETURN
32,0,GET_url4,PEDSRETURN
33,0,GET_url4,ADULTRETURN
34,0,GET_url4,ADULTRETURN
35,850,GET_url4,ADULTRETURN
36,0,GET_url4,ADULTRETURN
37,850,GET_url4,PEDSINITIAL
38,0,GET_url4,ADULTINITIAL
39,0,GET_url4,ADULTINITIAL
40,0,GET_url4,ADULTINITIAL
41,850,GET_url4,ADULTINITIAL
42,0,GET_url4,PEDSRETURN
43,850,GET_url4,PEDSINITIAL
44,0,GET_url4,PEDSRETURN
45,0,GET_url4,ADULTINITIAL
46,0,GET_url4,PEDSINITIAL
47,0,GET_url4,PEDSINITIAL
48,0,GET_url4,ADULTINITIAL
49,0,GET_url4,ADULTRETURN
50,850,GET_url4,ADULTRETURN
51,0,GET_url4,ADULTINITIAL
52,0,GET_url4,PEDSRETURN
53,0,GET_url4,ADULTINITIAL
54,0,GET_url4,PEDSRETURN
55,0,GET_url4,ADULTINITIAL
56,0,GET_url4,ADULTINITIAL
57,850,GET_url4,PEDSRETURN
58,0,GET_url4,PEDSINITIAL
59,0,GET_url4,PEDSRETURN
60,0,GET_url4,PEDSINITIAL
61,0,GET_url4,ADULTRETURN
62,850,GET_url4,ADULTINITIAL
63,0,GET_url4,PEDSINITIAL
64,0,GET_url4,PEDSINITIAL
65,0,GET_url4,ADULTINITIAL
66,850,GET_url4,ADULTRETURN
67,0,GET_url4,ADULTINITIAL
68,0,GET_url4,PEDSRETURN
69,0,GET_url4,PEDSINITIAL
70,0,GET_url4,ADULTRETURN
71,0,GET_url4,PEDSINITIAL
72,850,GET_url4,ADULTRETURN
73,0,GET_url4,ADULTINITIAL
74,0,GET_url4,PEDSRETURN
75,0,GET_url4,ADULTRETURN
76,0,GET_url4,PEDSINITIAL
77,0,GET_url4,PEDSINITIAL
78,850,GET_url4,PEDSRETURN
79,0,GET_url4,ADULTINITIAL
80,0,GET_url4,ADULTINITIAL
81,0,GET_url4,ADULTRETURN
82,0,GET_url4,PEDSINITIAL
83,850,GET_url4,ADULTINITIAL
84,0,GET_url4,PEDSRETURN
85,0,GET_url4,ADULTINITIAL
86,0,GET_url4,ADULTINITIAL
87,0,GET_url4,PEDSRETURN
88,850,GET_url4,PEDSRETURN
89,0,GET_url4,PEDSRETURN
90,0,GET_url4,PEDSINITIAL
91,0,GET_url4,PEDSRETURN
92,0,GET_url4,PEDSINITIAL
93,850,GET_url4,PEDSRETURN
94,0,GET_url4,ADULTINITIAL
95,0,GET_url4,PEDSINITIAL
96,0,GET_url4,ADULTRETURN
97,0,GET_url4,ADULTRETURN
98,0,GET_url4,PEDSINITIAL
99,0,GET_url4,ADULTINITIAL
100,850,GET_url4,ADULTRETURN
101,0,GET_url4,ADULTINITIAL
102,0,GET_url4,ADULTRETURN
103,0,GET_url4,PEDSINITIAL
104,0,GET_url4,ADULTRETURN
105,0,GET_url4,ADULTRETURN
106,0,GET_url4,ADULTRETURN
107,850,GET_url4,ADULTRETURN
108,0,GET_url4,ADULTINITIAL
109,0,GET_url4,ADULTRETURN
110,0,GET_url4,PEDSRETURN
111,0,GET_url4,PEDSRETURN
112,0,GET_url4,ADULTRETURN
113,0,GET_url4,ADULTINITIAL
114,0,GET_url4,PEDSINITIAL
115,0,GET_url4,ADULTRETURN
116,0,GET_url4,ADULTINITIAL
117,850,GET_url4,PEDSINITIAL
118,0,GET_url4,ADULTRETURN
119,0,GET_url4,PEDSINITIAL
120,0,GET_url4,PEDSINITIAL
121,0,GET_url4,ADULTRETURN
122,0,GET_url4,PEDSINITIAL
123,0,GET_url4,ADULTINITIAL
124,0,GET_url4,PEDSRETURN
125,0,GET_url4,ADULTINITIAL
126,0,GET_url4,PEDSRETURN
127,0,GET_url4,ADULTINITIAL
128,0,GET_url4,ADULTRETURN
129,0,GET_url4,PEDSRETURN
130,850,GET_url4,PEDSINITIAL
131,0,GET_url4,ADULTINITIAL
132,0,GET_url4,PEDSINITIAL
133,0,GET_url4,ADULTINITIAL
134,0,GET_url4,ADULTRETURN
135,850,GET_url4,ADULTINITIAL
136,0,GET_url4,ADULTRETURN
137,0,GET_url4,ADULTRETURN
138,0,GET_url4,ADULTINITIAL
139,0,GET_url4,ADULTRETURN
140,0,GET_url4,PEDSINITIAL
141,0,GET_url4,PEDSRETURN
142,0,GET_url4,PEDSRETURN
143,0,GET_url4,PEDSINITIAL
144,850,GET_url4,ADULTINITIAL
145,0,GET_url4,ADULTINITIAL
146,0,GET_url4,ADULTINITIAL
147,0,GET_url4,PEDSINITIAL
148,0,GET_url4,ADULTRETURN
149,0,GET_url4,ADULTINITIAL
150,0,GET_url4,PEDSRETURN
151,0,GET_url4,PEDSINITIAL
152,850,GET_url4,ADULTRETURN
153,0,GET_url4,ADULTINITIAL
154,0,GET_url4,PEDSRETURN
155,0,GET_url4,ADULTINITIAL
156,0,GET_url4,PEDSINITIAL
157,0,GET_url4,ADULTINITIAL
158,850,GET_url4,PEDSINITIAL
159,0,GET_url4,ADULTRETURN
160,0,GET_url4,ADULTRETURN
161,0,GET_url4,ADULTINITIAL
162,0,GET_url4,ADULTRETURN
163,0,GET_url4,PEDSINITIAL
164,0,GET_url4,PEDSINITIAL
165,0,GET_url4,PEDSINITIAL
166,0,GET_url4,PEDSINITIAL
167,850,GET_url4,PEDSRETURN
168,0,GET_url4,PEDSINITIAL
169,0,GET_url4,PEDSINITIAL
170,0,GET_url4,PEDSRETURN
171,0,GET_url4,ADULTRETURN
172,0,GET_url4,PEDSRETURN
173,0,GET_url4,ADULTINITIAL
174,0,GET_url4,ADULTINITIAL
175,0,GET_url4,PEDSINITIAL
176,0,GET_url4,PEDSINITIAL
177,0,GET_url4,PEDSINITIAL
178,850,GET_url4,ADULTINITIAL
179,0,GET_url4,ADULTINITIAL
180,0,GET_url4,ADULTINITIAL
181,0,GET_url4,ADULTINITIAL
182,0,GET_url4,PEDSRETURN
183,0,GET_url4,ADULTINITIAL
184,0,GET_url4,ADULTRETURN
185,850,GET_url4,ADULTRETURN
186,0,GET_url4,ADULTINITIAL
187,0,GET_url4,PEDSINITIAL
188,0,GET_url4,ADULTINITIAL
189,850,GET_url4,PEDSINITIAL
190,0,GET_url4,PEDSINITIAL
191,0,GET_url4,ADULTINITIAL
192,0,GET_url4,PEDSRETURN
193,0,GET_url4,ADULTRETURN
194,0,GET_url4,PEDSRETURN
195,0,GET_url4,PEDSRETURN
196,0,GET_url4,ADULTINITIAL
197,0,GET_url4,ADULTINITIAL
198,0,GET_url4,PEDSRETURN
199,0,GET_url4,ADULTINITIAL
200,850,GET_url4,ADULTINITIAL
201,0,GET_url4,PEDSRETURN
202,0,GET_url4,PEDSINITIAL
203,0,GET_url4,PEDSINITIAL
204,0,GET_url4,PEDSINITIAL
205,0,GET_url4,PEDSRETURN
206,0,GET_url4,ADULTRETURN
207,0,GET_url4,ADULTRETURN
208,850,GET_url4,PEDSINITIAL
209,0,GET_url4,ADULTRETURN
210,0,GET_url4,PEDSINITIAL
211,0,GET_url4,ADULTRETURN
212,0,GET_url4,PEDSRETURN
213,0,GET_url4,ADULTINITIAL
214,0,GET_url4,PEDSINITIAL
215,0,GET_url4,PEDSINITIAL
216,0,GET_url4,PEDSINITIAL
217,0,GET_url4,PEDSINITIAL
218,0,GET_url4,ADULTRETURN
219,850,GET_url4,ADULTINITIAL
220,0,GET_url4,PEDSRETURN
221,0,GET_url4,PEDSINITIAL
222,0,GET_url4,PEDSINITIAL
223,0,GET_url4,ADULTRETURN
224,0,GET_url4,ADULTINITIAL
225,0,GET_url4,PEDSRETURN
226,850,GET_url4,ADULTINITIAL
227,0,GET_url4,ADULTRETURN
228,0,GET_url4,ADULTINITIAL
229,0,GET_url4,PEDSRETURN
230,0,GET_url4,PEDSINITIAL
231,0,GET_url4,ADULTRETURN
232,0,GET_url4,PEDSINITIAL
233,0,GET_url4,PEDSRETURN
234,0,GET_url4,PEDSINITIAL
235,0,GET_url4,ADULTINITIAL
236,0,GET_url4,ADULTINITIAL
237,850,GET_url4,PEDSINITIAL
238,0,GET_url4,PEDSINITIAL
239,0,GET_url4,PEDSINITIAL
240,850,GET_url4,PEDSINITIAL
241,0,GET_url4,PEDSINITIAL
242,0,GET_url4,ADULTINITIAL
243,0,GET_url4,ADULTRETURN
244,0,GET_url4,ADULTINITIAL
245,0,GET_url4,PEDSRETURN
246,0,GET_url4,ADULTINITIAL
247,0,GET_url4,PEDSINITIAL
248,0,GET_url4,ADULTINITIAL
249,0,GET_url4,PEDSINITIAL
250,850,GET_url4,PEDSINITIAL
251,0,GET_url4,PEDSRETURN
252,0,GET_url4,PEDSINITIAL
253,0,GET_url4,ADULTRETURN
254,850,GET_url4,PEDSINITIAL
255,0,GET_url4,PEDSINITIAL
256,0,GET_url4,PEDSRETURN
257,850,GET_url4,PEDSINITIAL
258,0,GET_url4,ADULTRETURN
259,0,GET_url4,ADULTINITIAL
260,0,GET_url4,PEDSINITIAL
261,0,GET_url4,ADULTINITIAL
262,0,GET_url4,ADULTRETURN
263,0,GET_url4,ADULTINITIAL
264,0,GET_url4,PEDSRETURN
265,0,GET_url4,ADULTINITIAL
266,850,GET_url4,PEDSINITIAL
267,0,GET_url4,ADULTRETURN
268,0,GET_url4,ADULTRETURN
269,0,GET_url4,PEDSINITIAL
270,0,GET_url4,PEDSRETURN
271,0,GET_url4,PEDSINITIAL
272,0,GET_url4,PEDSRETURN
